"537 miles total, 24.5 days, averaging 21.9 miles per day",,,,Compatible w/ Halfmile's PCT maps ,,
Day,Marker,Elevation,Description,Daily Mileage,Total Mileage,Notes
"Tues, July 19",2144,219,Bridge of the Gods,-,-,"Take Amtrak train to Vancouver, WA. Then take the 30, 38, or 37 bus east to Fisher's Landing Center. Then WET bus east to Bridge of the Gods."
,2150,800,WACS,6,6,
EOD 1,2154,2460,CS,10,10,
"Wed, July 20",2157,3025,CS,13,13,Campsite near unpaved jeep road
,2159,3257,CS,15,15,
,2164,1487,WACS,20,20,"Rock creek, wooden bridge, campsites nearby. No campsites for another 10 miles."
EOD 2,2174,1195,WACS,24,30,
"Thurs, July 21",2180,902,CS,6,36,
,2183,2248,CS,9,39,Campsite near an unpaved road
,2189,4050,CS,15,45,Campsite in saddle
,2191,3556,WACS,17,47,"Trail junction to a spring, campsites nearby"
,2193,3254,CS,19,49,Campsite w/ fire ring. Piped spring next to PCT
EOD 3,2195,3495,CS,21,51,"Crest horse camp, has outhouse"
"Fri, July 22",2203,4669,WACS,8,59,Designated campsite near Blue Lake. No campsites for another 13 miles.
EOD 4,2216,3904,CS,25,72,Large campsite
"Sat, July 23",2221,3318,WACS,5,77,"Trout lake creek, wooden bridge, campsite nearby"
,2227,4084,WACS,11,83,"Small creek, wooden bridge, campsites nearby"
,2232,5639,CS,16,88,
EOD 5,2236,5783,WACS,20,92,Campsite near small pond
"Sun, July 24",2247,4267,WACS,11,103,"Large stream with wooden bridge, campsite nearby"
,2253,5088,WACS,17,109,
,2256,5285,CS,20,112,
EOD 6,2258,5153,WACS,22,114,"Small stream, small campsites nearby"
"Mon, July 25",2266,5577,WACS,8,122,
,2271,6011,CS,13,127,
,2274,7015,CS,16,130,Several exposed campsites
,2277,6006,CS,19,133,
,2280,5081,WACS,22,136,Lutz lake campsite
EOD 7,2281,4807,WACS,23,137,Campsite at Tieton pass
,2290,5419,WACS,9,146,
"Tues, July 26",2292.4,-,White Pass,11,148.4,RESUPPLY. small ski area 1/2 mile SW of PCT on Hwy 12 with a motel and Kracker Barrel convencience store that accepts hiker resupply boxes
,2295,5311,WACS,14,151,Sand Lake campsite
,2298,5101,WACS,17,154,"Beusch Lake, campsite"
EOD 8,2305,4604,WACS,24,161,"Large creek, wooden bridge, several campsites"
"Wed, July 27",2308,4809,WACS,3,164,
,2312,5394,WACS,7,168,
,2318,5158,WACS,13,174,"Dewey lake, two campsites"
,2323,5760,WACS,18,179,
EOD 9,2331,6361,CS,26,187,
"Thurs, July 28",2332,6207,CS,1,188,Several campsites in the trees
,2334,5744,CS,3,190,Several small campsites
,2339,5561,WACS,8,195,"Small creek, campsite nearby"
,2349,5053,WACS,18,205,Water alert -- next water is in 11.8 miles
